А,1227
Б,1686
В,533
Г,1017
Д,782
Е,103
Ж,412
З,645
И,354
Й,4
К,2320
Л,712
М,1305
Н,472
О,810
П,1801
Р,588
С,1827
Т,1012
У,272
Ф,197
Х,287
Ц,228
Ч,692
Ш,286
Щ,159
Э,223
Ю,138
Я,211
